trabajos_realizados,clasificacion,lugar,cliente
"Trabajo en turbogenerador 1, se comisiono 1 gobernador 2301D-ST con actuador Valtek 50.",Servicio EPC,Morelos,Ingenio Emiliano Zapata
"Trabajo en turbogenerador 3, se comisiono gobernador 2301D-ST con actuador CPC-1.",Servicio EPC,San Luis Potos?,Ingenio Plan de Ayala
"Trabajo en turbogenerador 1, cambio de 2301D-ST por un gobernador Woodward 505 Enhanced.",Servicio EPC,Oaxaca,Ingenio Adolfo López Mateos
Desarrollo de la aplicación de monitoreo y control para la medición de los patones de gas húmedo amargo.,Automatización,Tabasco,Pemex G.T.D.H
"Elaboración de estudio eléctrico para la ampliación de tres a seis bancos de baterías, con sus respectivos cargadores, bajo las reglas y/o regulaciones de la Casa Clasificadora Lloyd’s para instalaciones eléctricas a bordo.",Servicio,Campeche,Servicios Marítimos de Campeche / Pemex
Mantenimiento preventivo y correctivo del sistema de filtrado.,Servicio EPC,Campeche,Pride / Pemex
Levantamientos al sistema de paro por emergencia marca TRICONIX en el complejo Nohoch Alfa y elaboración de propuesta de actualización.,Automatización,Campeche,DEMAR
Levantamientos y respaldos a la instrumentación integrados al sistema de control y monitoreo en la plataforma AK-C1 para el desmantelamiento.,Automatización,Campeche,Cotemar
Nuevo sistema de energía continuo y sistema de sincronización.,Servicio EPC,,Mantenimiento Marino de México/ Pemex
Instalación y puesta en marcha de sistema fotovoltaico.,Servicio EPC,Campeche,Cotemar / Pemex
Protección por sobre velocidad Turbogenerado.,Proyecto,Jalisco,T/G DRESSER - CELANESE
"Inspección técnica y visual en campo al variador de velocidad, marca Siemens, 600 HP.",Servicio,Campeche,Plataforma BALAM-TB-ACTIVO CANTARELL
"Inspección técnica y visual en campo al variador de velocidad, marca Siemens, 900 HP.",Servicio,Campeche,"AYATSIL-B, ACTIVO"
"Levantamiento en campo, a bordo, con personal técnico especializado, para revisión, inspección, evaluación y diagnóstico de tablero de alumbrado marca Square D.",Servicio,Campeche,PlataformaBALAM-A -Pemex
"Levantamiento en campo, a bordo, con personal técnico especializado, para revisión, inspección, evaluación y diagnóstico de variadores de frecuencia de 325 KVA.",Servicio,Campeche,PlataformaBALAM-A -Pemex
Pruebas eléctricas primarias a 6 transformadores defasadores enfriados por aceite y aire. Pruebas eléctricas primarias a 6 transformadores elevadores enfriados por aceite y aire.,Servicio,Campeche,PlataformaBALAM-A -Pemex
Servicio de Sintonización de AVR DECS BASLER.,Servicio,Jalisco,Ingenio José Maía Morelos
Servicio de sintonización de control de válvula de admisión de turbina con CPC.,Servicio,,Ingenio Central Izalco
"Ingenierías, eléctricas para MT y MT para conexión de subestación a tableros y CCM’s entre otros para Ingenios de grupo Piasa (Tres Valles, Adolfo Lopez Mateos).",Servicio,Veracruz,PIASA
"Inspección técnica y visual en campo al variador de velocidad (VDF-01), marca Siemens.",Servicio,Campeche,"AYATSIL-D, ACTIVO KUMAZA-Pemex"
"Inspección técnica y visual en campo al variador de velocidad (VDF-08-03), marca Siemens.",Servicio,Campeche,"AYATSIL-D, ACTIVO KUMAZA-Pemex"
"Inspección técnica y visual en campo al variador de velocidad, marca Siemens, 800HP.",Servicio,Campeche,"AYATSIL-C, ACTIVO KUMAZA-Pemex"
"Inspección técnica, visual, reemplazo de componentes y prueba en campo al variador de velocidad (VDF-10-01), marca Siemens.",Servicio,Campeche,"MALOOB-D, ACTIVO KUMAZA-Pemex"
Pruebas eléctricas primarias a transformadores principales de distribución de 34.5 kv.,Servicio,Campeche,PlataformaBALAM-A -Pemex
"Revisión general del variador de velocidad Robicon Perfect Harmony, marca Siemens.",Servicio,Campeche,Plataforma Pemex
"Revisión, inspección, evaluación y diagnóstico del transformador de 1500 kva.",Servicio,Campeche,Plataforma BALAM-TB COTEMAR
"Ajuste, verificación y coordinación de protecciones eléctricas al relevador de media tensión.",Servicio,Campeche,Plataforma BALAM TB COTEMAR
"Depuración en sistema SDMC con RC500- EPLCG, gráficos dinámicos y optimización de la lógica, equipos, licenciamiento y herramientas.",Servicio,Campeche,Plataforma AKAL-B- COTEMAR
Pruebas eléctricas integrales (VLF) a los circuitos primarios y secundarios en seccionador; Instalación de codos y cuerpo en T premoldeados para 35kv 200 amp calibre 2/0 al seccionador.,Servicio,Campeche,Plataforma BALAM- COTEMAR
"Pruebas eléctricas integrales (VLF) a los circuitos primarios y secundarios en seccionador; Instalación de codos, interconexión de empalmes, y cuerpo en T premoldeados para 35kv 200 amp calibre 2/0 al seccionador.",Servicio,Campeche,Plataforma BALAM TE- COTEMAR
"Revisión, inspección, evaluación y diagnóstico del transformador de 7,500 kva.",Servicio,Campeche,Plataforma EK-A-COTEMAR
"Revisión, inspección, evaluación y diagnostico para garantizar el correcto funcionamiento de variador de frecuencia de 829 kva. (3 Servicios)",Servicio,Campeche,Plataforma BALAM- COTEMAR
"Servicio de mantenimiento especializado a 4 Generadores electricos. Marca: Leroy Somer de 590 Kw, 200 A, 440 v, 1800 RPM.",Servicio,Veracruz,Cotemar Embarcación Olimpo
"Servicio de mantenimiento especializado a 4 Generadores eléctricos. Marca: Leroy Somer de 590 Kw, 200 A, 440 v, 1800 RPM.",Servicio,Veracruz,Cotemar Embarcación Atlas
"Interconexión, pruebas de funcionamiento,",Servicio,Campeche,BALAM-TB - COTEMAR
Servicio de aseguramiento de flujo con sistema artificial BEC para los pozos de la subdirección de producción de bloques aguas someras.,Servicio,Campeche,ZAAP-E -PEMEX
"Servicio de mantenimiento especializado a 2 generadores principales de cola (Generador Síncrono Auto-excitado (brushless)) No.1 y 2 Marca: Standford de 1280 Kw, 2000 A, 440 v, 1800 RPM.",Servicio,Veracruz,Cotemar Embarcación Saturno
Servicio evaluación de desempeño a 6 variadores en aplicación de bombeo electro centrifugo en plataforma marina.,Proyecto,Tabasco,PEMEX
"Servicio de mantenimiento especializado a motor eléctrico BOW THUSTER 3. Marca: HYUNDAI de 1050 kW, 690 VCA, 883 RPM.",Servicio,Veracruz,Cotemar Embarcación Hercules
"Servicio de mantenimiento especializado a 2 Motores Eléctricos de Bow Thruster No.1 y 2 Marca: HYUNDAI de 1050 kW, 690 VCA, 883 RPM.",Servicio,Veracruz,Cotemar Embarcación Atlas
"Servicio de mantenimiento especializado a 2 motores eléctricos de Bow Thruster No.1 y 2 Marca: HYUNDAI de 1050 kW, 690 VCA, 883 RPM.",Servicio,Veracruz,Cotemar Embarcación Olimpo
"Servicio de mantenimiento especializado a 4 generadores principales (Generador Síncrono Auto-excitado (brushless)) No.1, 2, 3, y 4 de 590 Kw, 2000 A, 440 v, 1800 RPM.",Servicio,Veracruz,Cotemar Embarcación Olimpo
"Suministro de servicios especializados en ingeniería para la implementación del sistema de segregación de cargas a implementarse en el centro de proceso Akal J, especificaciones en las",Automatización,Campeche,Diavaz
"Configuración, puesta en servicio del sistema de control basado en PLC Allen Bradley de Rockwell para el control de bomba tipo tornillo TAB1290B.",Automatización,Campeche,Pemex
Suministro de sistema de excitación con equipo DEC25O de Basler Electric.,Servicio,,LUFUSSA
Suministro de un sistema de actuación para turbina de vapor.,Proyecto menor,Veracruz,Ingenio Constancia
Suministro y puesta en marcha de materiales para Incremento de capacidad operativa en subestación eléctrica no. 2 con pruebas eléctricas.,Servicio EPC,Veracruz,Ingenio Tres Valles
"Suministro de materiales y mano de obra para la modificación de Electrobus BUS ""C"". Con pruebas eléctricas.",Servicio EPC,Veracruz,IngenioTres Valles
Suministro y Pruebas FAT de un CCM.,Servicio,Campeche,PlataformaCampecheBALAM-A -Pemex
Suministro y pruebas FAT de transformador capacidad 7.5 MVA,Suministro,Campeche,Plataforma EK-A- Pemex
Suministro y Pruebas FAT de variadores de frecuencia de 325 kva motores del sistema BEC.,Servicio,Campeche,PlataformaBALAM-A -Pemex
"Suministro y pruebas FAT seccionador de 34.5 kv (SECC-01) auto soportado, de nueve (9) vías, doble bus (lazo), con interruptores en vacío de tecnología de dieléctrico sólido.",Suministro,Campeche,Plataforma EK-A- Pemex
"Comisionamiento del variador de velocidad Robicon Perfect Harmony 900hp, 4160v.",Servicio,Campeche,"KU-H, ACTIVO KUMAZA-Pemex"
Protección de los Arrancadores del CCM1.,Servicio,Campeche,Plataforma BALAM-A y EK-A Pemex
Suministro de paquete acondicionamiento de gas combustible.,Proyecto,Campeche,Plataforma NOHOCH-COTEMAR
Suministro calendator de gas.,Servicio,Campeche,Plataforma REBOMBEO- PEMEX
"Suministro de 6 variadores de frecuencia de 50, 75, 200 HP, Marca ABB para plataforma marina.",Proyecto,,Cotemar
